temperature_K,pressure_Pa,equivalence_ratio,mean_molecular_weight_kg_per_kmol,density_kg_per_m3,enthalpy_J_per_kg,entropy_J_per_kg_K,cp_frozen_J_per_kg_K,cp_equilibrium_J_per_kg_K,cv_frozen_J_per_kg_K,cv_equilibrium_J_per_kg_K,isentropic_exponent,mole_fraction_H2O,mole_fraction_N2,mole_fraction_O2,mole_fraction_OH,mole_fraction_H,mole_fraction_O,mole_fraction_H2
1000,500000,0.2,27.849906,1.6747773,90743.644,8026.0456,1211.5714,1211.5808,913.02429,913.03338,1.3269841,8.064512e-02,7.580645e-01,1.612903e-01,8.292922e-08,2.843105e-15,2.824965e-11,7.836287e-12
1000,500000,0.4,26.926722,1.6192609,-563800.92,8307.3791,1273.2012,1273.2135,964.41833,964.43032,1.3201716,1.550387e-01,7.286821e-01,1.162790e-01,1.059527e-07,4.278097e-15,2.398610e-11,1.774295e-11
1000,500000,0.6,26.072432,1.5678875,-1210792,8569.4314,1334.1197,1334.1334,1015.2193,1015.2326,1.314116,2.238805e-01,7.014925e-01,7.462683e-02,1.139589e-07,5.743681e-15,1.921571e-11,3.198197e-11
1000,500000,0.8,25.279602,1.52021,-1850359.8,8814.6875,1394.3393,1394.3526,1065.4373,1065.4503,1.3086979,2.877697e-01,6.762590e-01,3.597119e-02,1.076534e-07,7.815194e-15,1.334094e-11,5.921122e-11
1000,500000,1,24.54183,1.4758434,-2482631.1,9035.3244,1453.8727,1453.8789,1115.0833,1115.0894,1.3038227,3.472220e-01,6.527774e-01,5.824253e-07,7.501189e-09,1.353316e-13,5.368203e-14,1.775511e-08
1000,2e+06,0.2,27.849906,6.6991094,90743.504,7612.1712,1211.5714,1211.5781,913.02429,913.03079,1.3269849,8.064513e-02,7.580645e-01,1.612903e-01,5.863982e-08,1.005189e-15,1.412482e-11,3.918144e-12
1000,2e+06,0.4,26.926722,6.4770436,-563801.1,7879.315,1273.2012,1273.21,964.41833,964.4269,1.3201726,1.550387e-01,7.286822e-01,1.162790e-01,7.491986e-08,1.512536e-15,1.199305e-11,8.871474e-12
1000,2e+06,0.6,26.072432,6.2715499,-1210792.2,8127.3413,1334.1197,1334.1294,1015.2193,1015.2288,1.3141171,2.238806e-01,7.014925e-01,7.462684e-02,8.058115e-08,2.030698e-15,9.607856e-12,1.599098e-11
1000,2e+06,0.8,25.279602,6.08084,-1850360,8358.7324,1394.3393,1394.3487,1065.4373,1065.4466,1.3086989,2.877697e-01,6.762590e-01,3.597120e-02,7.612246e-08,2.763088e-15,6.670469e-12,2.960561e-11
1000,2e+06,1,24.54183,5.9033738,-2482631.2,8565.6624,1453.8727,1453.876,1115.0833,1115.0866,1.3038234,3.472220e-01,6.527774e-01,5.798514e-07,5.298272e-09,4.789996e-14,2.678164e-14,8.897236e-09
1000,6e+06,0.2,27.849906,20.097328,90743.423,7284.1836,1211.5714,1211.5766,913.02429,913.02932,1.3269854,8.064514e-02,7.580645e-01,1.612903e-01,4.455663e-08,4.409679e-16,8.154971e-12,2.262142e-12
1000,6e+06,0.4,26.926722,19.431131,-563801.21,7540.0823,1273.2012,1273.208,964.41833,964.42496,1.3201732,1.550387e-01,7.286822e-01,1.162791e-01,5.692679e-08,6.635363e-16,6.924191e-12,5.121948e-12
1000,6e+06,0.6,26.072432,18.81465,-1210792.4,7776.9933,1334.1197,1334.1272,1015.2193,1015.2266,1.3141177,2.238806e-01,7.014925e-01,7.462685e-02,6.122843e-08,8.908496e-16,5.547098e-12,9.232399e-12
1000,6e+06,0.8,25.279602,18.24252,-1850360.1,7997.3966,1394.3393,1394.3465,1065.4373,1065.4444,1.3086994,2.877698e-01,6.762590e-01,3.597120e-02,5.784056e-08,1.212143e-15,3.851197e-12,1.709281e-11
1000,6e+06,1,24.54183,17.710122,-2482631.2,8193.464,1453.8727,1453.8747,1115.0833,1115.0853,1.3038237,3.472220e-01,6.527774e-01,5.799788e-07,4.026037e-09,2.101215e-14,1.546408e-14,5.136258e-09
1400,100000,0.2,27.849685,0.23925201,591040.02,8926.6855,1283.5715,1285.4012,985.02198,986.78565,1.3026118,8.062894e-02,7.580585e-01,1.612811e-01,3.091840e-05,1.465417e-09,3.801040e-07,9.058167e-08
1400,100000,0.4,26.92645,0.23132065,-36427.622,9247.1529,1356.9691,1359.3754,1048.1831,1050.5026,1.2940204,1.550172e-01,7.286748e-01,1.162679e-01,3.950304e-05,2.205142e-09,3.227310e-07,2.051120e-07
1400,100000,0.6,26.072148,0.22398148,-656684.4,9547.8644,1429.5196,1432.2006,1110.6157,1113.1998,1.2865584,2.238565e-01,7.014849e-01,7.461543e-02,4.248813e-05,2.960665e-09,2.585384e-07,3.697401e-07
1400,100000,0.8,25.279338,0.21717059,-1269855.8,9831.3124,1501.2376,1503.8898,1172.3323,1174.8881,1.2800246,2.877460e-01,6.762519e-01,3.596103e-02,4.013639e-05,4.028637e-09,1.794844e-07,6.845961e-07
1400,100000,1,24.54133,0.21083048,-1875866,10089.827,1572.1432,1576.6322,1233.3469,1237.6346,1.2738989,3.471743e-01,6.527642e-01,1.735295e-05,6.534203e-06,2.985671e-08,3.942732e-09,3.760122e-05
1400,500000,0.2,27.84976,1.1962633,590978.69,8446.1455,1283.5714,1284.7826,985.02265,986.19049,1.3027715,8.063431e-02,7.580605e-01,1.612842e-01,2.067716e-05,4.382744e-10,1.699893e-07,4.051167e-08
1400,500000,0.4,26.926542,1.1566072,-36508.23,8750.1243,1356.9689,1358.5638,1048.184,1049.7217,1.294211,1.550244e-01,7.286773e-01,1.162716e-01,2.641809e-05,6.595013e-10,1.443320e-07,9.173168e-08
1400,500000,0.6,26.072245,1.1199116,-656774.3,9034.545,1429.5194,1431.2938,1110.6166,1112.3274,1.2867535,2.238645e-01,7.014875e-01,7.461917e-02,2.841439e-05,8.854502e-10,1.156248e-07,1.653546e-07
1400,500000,0.8,25.279429,1.0858568,-1269944.9,9301.8968,1501.2374,1502.9833,1172.3332,1174.0161,1.2802044,2.877540e-01,6.762543e-01,3.596432e-02,2.684181e-05,1.204833e-09,8.027155e-08,3.061552e-07
1400,500000,1,24.541536,1.0541613,-1876041.8,9544.429,1572.1403,1574.7637,1233.3469,1235.8526,1.2742275,3.471941e-01,6.527699e-01,1.008317e-05,3.815211e-06,1.022753e-08,1.344078e-09,2.206124e-05
1400,2e+06,0.2,27.849804,4.7850607,590943.07,8032.2439,1283.5713,1284.4247,985.02302,985.84624,1.3028639,8.063745e-02,7.580617e-01,1.612859e-01,1.462129e-05,1.549560e-10,8.499511e-08,2.025651e-08
1400,2e+06,0.4,26.926597,4.6264382,-36555.244,8322.0244,1356.9688,1358.0931,1048.1845,1049.2689,1.2943216,1.550285e-01,7.286788e-01,1.162737e-01,1.868075e-05,2.331710e-10,7.216664e-08,4.586666e-08
1400,2e+06,0.6,26.072301,4.479656,-656826.7,8592.4151,1429.5192,1430.7687,1110.6172,1111.8222,1.2868666,2.238692e-01,7.014890e-01,7.462136e-02,2.009237e-05,3.130549e-10,5.781324e-08,8.267782e-08
1400,2e+06,0.8,25.279481,4.3434363,-1269996.6,8845.9024,1501.2372,1502.4619,1172.3337,1173.5146,1.2803079,2.877587e-01,6.762557e-01,3.596627e-02,1.898044e-05,4.259704e-10,4.013687e-08,1.530759e-07
1400,2e+06,1,24.541646,4.2166639,-1876134.8,9074.6975,1572.1391,1573.7912,1233.3473,1234.9252,1.2743988,3.472046e-01,6.527728e-01,6.389042e-06,2.406965e-06,4.052964e-09,5.349505e-10,1.385778e-05
1400,6e+06,0.2,27.84983,14.355195,590922.67,7704.2407,1283.5712,1284.2206,985.02325,985.64997,1.3029166,8.063925e-02,7.580624e-01,1.612869e-01,1.110992e-05,6.797850e-11,4.907210e-08,1.169533e-08
1400,6e+06,0.4,26.926628,13.879331,-36582.166,7982.7711,1356.9687,1357.8242,1048.1848,1049.0103,1.2943847,1.550309e-01,7.286796e-01,1.162749e-01,1.419445e-05,1.022906e-10,4.166565e-08,2.648140e-08
1400,6e+06,0.6,26.072334,13.438985,-656856.7,8242.0442,1429.5192,1430.4687,1110.6175,1111.5337,1.2869311,2.238719e-01,7.014899e-01,7.462261e-02,1.526705e-05,1.373347e-10,3.337877e-08,4.773423e-08
1400,6e+06,0.8,25.279512,13.030325,-1270026.1,8484.5441,1501.2372,1502.1653,1172.3341,1173.2293,1.2803668,2.877613e-01,6.762565e-01,3.596740e-02,1.442219e-05,1.868689e-10,2.317339e-08,8.837786e-08
1400,6e+06,1,24.541705,12.650022,-1876184.2,8702.4641,1572.1387,1573.2839,1233.3477,1234.4415,1.2744882,3.472101e-01,6.527742e-01,4.526317e-06,1.677916e-06,1.938019e-09,2.599606e-10,9.505727e-06
1800,100000,0.2,27.844437,0.18604983,1118654.4,9257.8045,1330.3092,1358.4659,1031.7034,1058.5006,1.2833139,8.028558e-02,7.579156e-01,1.610733e-01,6.638571e-04,1.176300e-06,4.881642e-05,1.076114e-05
1800,100000,0.4,26.920095,0.1798736,523832.44,9598.6947,1413.3439,1449.6743,1104.485,1139.0681,1.2725949,1.545505e-01,7.285028e-01,1.160295e-01,8.485497e-04,1.771530e-06,4.143224e-05,2.440725e-05
1800,100000,0.6,26.065437,0.17416298,-64730.291,9919.2479,1495.4219,1536.4049,1176.4359,1215.4389,1.263976,2.233185e-01,7.013043e-01,7.438405e-02,9.127088e-04,2.379840e-06,3.317371e-05,4.404711e-05
1800,100000,0.8,25.272775,0.1688666,-647071.18,10222.008,1576.5609,1619.5627,1247.5701,1288.4596,1.2568731,2.871775e-01,6.760763e-01,3.577573e-02,8.619306e-04,3.240660e-06,2.300639e-05,8.167493e-05
1800,100000,1,24.528212,0.16389161,-1217713.4,10502.532,1656.8482,1734.1577,1317.8708,1390.8095,1.2466355,3.459331e-01,6.524155e-01,3.937933e-04,3.064172e-04,1.098081e-05,2.413728e-06,9.377576e-04
1800,500000,0.2,27.846444,0.93031621,1117078.2,8776.3602,1330.3089,1347.9753,1031.7246,1048.5525,1.2855136,8.040725e-02,7.579703e-01,1.611497e-01,4.443370e-04,3.520206e-07,2.183655e-05,4.818679e-06
1800,500000,0.4,26.922503,0.89944846,521799.98,9100.5004,1413.3439,1436.2858,1104.5127,1126.3688,1.2750919,1.547185e-01,7.285680e-01,1.161141e-01,5.678712e-04,5.300023e-07,1.853581e-05,1.092314e-05
1800,500000,0.6,26.067997,0.87090042,-67026.359,9404.6114,1495.4217,1521.1678,1176.467,1200.9902,1.2665349,2.235163e-01,7.013732e-01,7.446309e-02,6.107976e-04,7.118643e-07,1.484362e-05,1.970545e-05
1800,500000,0.8,25.275353,0.84441915,-649491.31,9691.2026,1576.5591,1602.9811,1247.6019,1272.7519,1.2593999,2.873955e-01,6.761453e-01,3.583365e-02,5.768597e-04,9.691590e-07,1.029709e-05,3.652431e-05
1800,500000,1,24.533911,0.81964846,-1222643.4,9954.2989,1656.8162,1701.609,1317.9175,1360.1841,1.250878,3.464694e-01,6.525671e-01,2.302936e-04,1.793331e-04,3.758286e-06,8.254867e-07,5.492519e-04
1800,2e+06,0.2,27.847544,3.7214118,1116206.1,8361.9587,1330.3092,1342.3396,1031.7368,1043.2042,1.2867169,8.047761e-02,7.580002e-01,1.611924e-01,3.143519e-04,1.245043e-07,1.091972e-05,2.411129e-06
1800,2e+06,0.4,26.923833,3.5979714,520668.05,8671.7518,1413.3445,1429.0332,1104.5285,1119.4844,1.2764731,1.548145e-01,7.286040e-01,1.161627e-01,4.017121e-04,1.874226e-07,9.269845e-06,5.463814e-06
1800,2e+06,0.6,26.069401,3.4837893,-68299.061,8961.7519,1495.4223,1512.9697,1176.4847,1193.2095,1.2679432,2.236274e-01,7.014110e-01,7.451001e-02,4.320745e-04,2.517049e-07,7.424146e-06,9.854518e-06
1800,2e+06,0.8,25.276731,3.3778608,-650804.54,9234.4548,1576.5591,1594.3066,1247.6198,1264.5257,1.2607543,2.875138e-01,6.761822e-01,3.587078e-02,4.080910e-04,3.426313e-07,5.151214e-06,1.826022e-05
1800,2e+06,1,24.536857,3.2789875,-1225192.4,9483.0998,1656.7998,1684.881,1317.9418,1344.4414,1.253135,3.467483e-01,6.526455e-01,1.450716e-04,1.130174e-04,1.492088e-06,3.275898e-07,3.462907e-04
1800,6e+06,0.2,27.848155,11.16448,1115721.6,8033.678,1330.3096,1339.266,1031.7437,1040.2864,1.2873792,8.051775e-02,7.580168e-01,1.612160e-01,2.389241e-04,5.463056e-08,6.304965e-06,1.392658e-06
1800,6e+06,0.4,26.924574,10.794212,520036.25,8332.1367,1413.3451,1425.0536,1104.5377,1115.7056,1.2772392,1.548688e-01,7.286240e-01,1.161902e-01,3.053068e-04,8.223024e-08,5.352581e-06,3.155269e-06
1800,6e+06,0.6,26.070181,10.451681,-69007.593,8610.9751,1495.4229,1508.4891,1176.4949,1188.9555,1.2687219,2.236897e-01,7.014319e-01,7.453711e-02,3.283812e-04,1.104261e-07,4.287112e-06,5.690060e-06
1800,6e+06,0.8,25.277483,10.133884,-651526.01,8872.6829,1576.5595,1589.6527,1247.63,1260.1095,1.2614904,2.875788e-01,6.762023e-01,3.589316e-02,3.101655e-04,1.503029e-07,2.974982e-06,1.054164e-05
1800,6e+06,1,24.538387,9.8375761,-1226517.5,9110.1025,1656.7914,1676.2131,1317.9545,1336.2833,1.2543257,3.468937e-01,6.526862e-01,1.005848e-04,7.837788e-05,7.174754e-07,1.574870e-07,2.402079e-04
2200,100000,0.2,27.798074,0.15196913,1692745.4,9545.1907,1362.4708,1550.8687,1063.367,1239.8179,1.2500684,7.793151e-02,7.566537e-01,1.594310e-01,4.593721e-03,8.412437e-05,1.079154e-03,2.223441e-04
2200,100000,0.4,26.865388,0.14687023,1142070.3,9908.0739,1452.3585,1689.7725,1142.8707,1365.2705,1.2367092,1.511662e-01,7.270224e-01,1.143680e-01,5.888007e-03,1.273092e-04,9.140066e-04,5.092152e-04
2200,100000,0.6,26.006244,0.14217338,594315.33,10248.972,1541.2357,1816.3385,1221.5236,1479.0648,1.22693,2.191321e-01,6.997117e-01,7.298996e-02,6.336270e-03,1.714927e-04,7.301779e-04,9.240031e-04
2200,100000,0.8,25.209269,0.13781641,51781.914,10571.556,1629.1322,1946.7424,1299.3126,1596.1346,1.2183782,2.821414e-01,6.743775e-01,3.503697e-02,5.984528e-03,2.337815e-04,5.058950e-04,1.717127e-03
2200,100000,1,24.421085,0.13350748,-448380.12,10886.956,1716.3034,2205.2844,1375.8389,1830.5934,1.2025751,3.362964e-01,6.495661e-01,2.799827e-03,3.473832e-03,4.800504e-04,1.430088e-04,7.240284e-03
2200,500000,0.2,27.819749,0.7604381,1676752.7,9056.7391,1362.4647,1469.5418,1063.5939,1164.097,1.2619445,7.889400e-02,7.572436e-01,1.601517e-01,3.094406e-03,2.528542e-05,4.837020e-04,1.004366e-04
2200,500000,0.4,26.890728,0.73504382,1121955.9,9401.0882,1452.3607,1588.3238,1143.1645,1270.8148,1.2493141,1.525982e-01,7.277081e-01,1.150467e-01,3.962011e-03,3.819770e-05,4.099673e-04,2.292062e-04
2200,500000,0.6,26.034005,0.71162573,570980.64,9724.1121,1541.236,1696.7116,1221.8649,1367.7639,1.2399071,2.209748e-01,7.004586e-01,7.350300e-02,4.262556e-03,5.141338e-05,3.276911e-04,4.152449e-04
2200,500000,0.8,25.240245,0.68992873,24706.247,10028.787,1629.114,1801.5284,1299.6992,1461.2461,1.2322082,2.845000e-01,6.752061e-01,3.519659e-02,4.023358e-03,7.012889e-05,2.267579e-04,7.725844e-04
2200,500000,1,24.473094,0.66895906,-493904.41,10318.947,1716.1769,1990.1403,1376.436,1631.527,1.2186171,3.408616e-01,6.509495e-01,1.645158e-03,2.047686e-03,1.650890e-04,4.902482e-05,4.281423e-03
2200,2e+06,0.2,27.830422,3.0429193,1668702.9,8638.8432,1362.4716,1430.6927,1063.7154,1127.8494,1.2682415,7.943017e-02,7.575341e-01,1.605274e-01,2.196784e-03,8.964817e-06,2.421345e-04,5.050041e-05
2200,2e+06,0.4,26.903294,2.9415491,1111753.6,8967.9221,1452.3741,1539.6372,1143.3223,1225.3789,1.2561279,1.533707e-01,7.280482e-01,1.154253e-01,2.810955e-03,1.352795e-05,2.053207e-04,1.149942e-04
2200,2e+06,0.6,26.047583,2.8479876,559288.11,9276.1797,1541.2505,1640.1929,1222.0459,1315.0476,1.2468861,2.219328e-01,7.008240e-01,7.381921e-02,3.023852e-03,1.819719e-05,1.641976e-04,2.080754e-04
2200,2e+06,0.8,25.254814,2.7613079,11643.111,9566.3265,1629.1215,1735.5381,1299.8968,1399.7899,1.2394636,2.856575e-01,6.755959e-01,3.536058e-02,2.854040e-03,2.481584e-05,1.136428e-04,3.869634e-04
2200,2e+06,1,24.499153,2.6786855,-516749.57,9837.8525,1716.1218,1884.7428,1376.7423,1533.8441,1.2280398,3.432249e-01,6.516426e-01,1.038801e-03,1.295179e-03,6.570408e-05,1.947818e-05,2.712668e-03
2200,6e+06,0.2,27.83592,9.1305616,1664499.4,8308.7497,1362.479,1411.1647,1063.7818,1109.6046,1.2715826,7.972995e-02,7.576838e-01,1.607270e-01,1.672862e-03,3.938978e-06,1.398833e-04,2.924828e-05
2200,6e+06,0.4,26.909815,8.8267864,1106387.4,8625.9984,1452.3857,1515.0007,1143.4089,1202.3545,1.2597967,1.537939e-01,7.282246e-01,1.156357e-01,2.139782e-03,5.940071e-06,1.186499e-04,6.651452e-05
2200,6e+06,0.6,26.054565,8.5462529,553184.11,8922.7729,1541.2633,1611.8858,1222.1442,1288.6034,1.2506248,2.224446e-01,7.010118e-01,7.400545e-02,2.301728e-03,7.987118e-06,9.491904e-05,1.202579e-04
2200,6e+06,0.8,25.262076,8.2863055,5011.3579,9201.6771,1629.1314,1703.5365,1300.0013,1369.9352,1.2432496,2.862498e-01,6.757901e-01,3.547833e-02,2.172653e-03,1.088872e-05,6.572083e-05,2.235048e-04
2200,6e+06,1,24.512468,8.040424,-528433.25,9459.803,1716.096,1831.5776,1376.9009,1484.5284,1.2332763,3.444540e-01,6.519968e-01,7.210633e-04,8.998830e-04,3.163496e-05,9.369323e-06,1.886548e-03
2600,100000,0.2,27.552769,0.12745452,2418863.8,9846.968,1385.9351,2199.8956,1084.1683,1830.7558,1.1963448,6.908156e-02,7.499765e-01,1.521377e-01,1.646757e-02,1.574061e-03,9.074091e-03,1.675957e-03
2600,100000,0.4,26.578394,0.12294722,1950527,10243.859,1480.4486,2507.303,1167.6189,2108.6147,1.182709,1.372144e-01,7.192558e-01,1.081882e-01,2.131248e-02,2.415763e-03,7.651994e-03,3.947560e-03
2600,100000,0.6,25.685004,0.11881455,1480493.5,10616.822,1574.0103,2809.135,1250.2996,2380.2368,1.1727281,2.002018e-01,6.910686e-01,6.911610e-02,2.301537e-02,3.263914e-03,6.116097e-03,7.206055e-03
2600,100000,0.8,24.838862,0.11490044,1028370.4,10976.615,1666.6847,3178.6802,1331.9468,2711.5125,1.1632792,2.566140e-01,6.644687e-01,3.521491e-02,2.201461e-02,4.373791e-03,4.365641e-03,1.294006e-02
2600,100000,1,23.943144,0.110757,673359.31,11352.152,1758.7603,3643.3934,1411.4998,3125.8444,1.1545547,2.987442e-01,6.368536e-01,1.013128e-02,1.739623e-02,6.443669e-03,2.341623e-03,2.808578e-02
2600,500000,0.2,27.692253,0.64049876,2320639.8,9324.8847,1385.7833,1804.7536,1085.5365,1471.711,1.2236645,7.343768e-02,7.537733e-01,1.559658e-01,1.142519e-02,4.823632e-04,4.108795e-03,7.869341e-04
2600,500000,0.4,26.741543,0.61850963,1827150.9,9694.6496,1480.3118,2006.5043,1169.3907,1654.3094,1.2097567,1.444000e-01,7.236709e-01,1.111493e-01,1.471998e-02,7.361715e-04,3.468592e-03,1.832939e-03
2600,500000,0.6,25.870006,0.5983517,1332114.8,10040.857,1573.8393,2193.9896,1252.4435,1823.3059,1.199692,2.103539e-01,6.960461e-01,7.060957e-02,1.586127e-02,9.952484e-04,2.764595e-03,3.350063e-03
2600,500000,0.8,25.056517,0.57953636,844855.57,10369.929,1666.4079,2409.3432,1334.5777,2016.8753,1.1902686,2.708474e-01,6.702912e-01,3.435244e-02,1.503137e-02,1.352213e-03,1.928318e-03,6.184149e-03
2600,500000,1,24.21369,0.56004248,432208.36,10703.974,1758.2923,2754.5793,1414.9118,2326.3719,1.1782211,3.189060e-01,6.440497e-01,6.126012e-03,1.059919e-02,2.257922e-03,8.143079e-04,1.724281e-02
2600,2e+06,0.2,27.754812,2.5677827,2275694.7,8891.8819,1385.7824,1632.7694,1086.2124,1314.5873,1.2405429,7.574985e-02,7.554761e-01,1.578719e-01,8.229980e-03,1.726799e-04,2.066913e-03,4.033978e-04
2600,2e+06,0.4,26.814375,2.4807766,1770883.6,9242.6221,1480.3408,1791.3438,1170.2642,1457.8702,1.2269559,1.480223e-01,7.256418e-01,1.127843e-01,1.057688e-02,2.625600e-04,1.747005e-03,9.326252e-04
2600,2e+06,0.6,25.951141,2.4009132,1265713.4,9570.5349,1573.8701,1934.6901,1253.4792,1586.8681,1.2171682,2.152513e-01,6.982291e-01,7.165528e-02,1.138719e-02,3.546402e-04,1.392496e-03,1.701476e-03
